WikiArticle	Language	Programming	Computer	Software	Hardware	Data	Player	Online	System	Development	Machine	Console	Developer	Design	History	Technology	Standard	Information	Article	Example	Game	Programming	Action	Company	Latest	Version	Released	Character	Main	Line	Code	Series
Sound_design	0	1	1	8	3	4	0	0	1	10	4	0	1	0	180	5	11	0	4	7	0	6	0	0	0	1	0	0	1	3	0	0
Soylent_Green	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	1	3	0	0	1	0	0	2	3	0	2	1	0	1
Spaceships	0	0	0	0	0	0	10	0	0	14	3	1	0	0	2	7	3	0	2	5	5	0	0	1	0	2	0	0	5	1	0	1
Spacewar!	0	1	9	43	3	1	0	12	0	0	5	1	0	0	1	14	2	0	1	2	0	61	1	1	0	11	0	0	2	0	7	2
Space_Invaders	0	0	3	9	0	10	1	11	0	5	8	2	5	0	9	9	4	1	2	3	4	126	3	3	0	9	18	0	2	2	0	3
Sports_game	0	0	1	9	1	1	5	15	6	1	1	0	6	0	3	12	0	0	1	4	5	153	10	2	1	3	49	1	4	1	0	21
Strategy_video_game	0	0	2	16	0	0	3	27	16	0	3	0	1	0	9	11	4	0	2	13	4	85	11	0	0	2	5	1	14	0	1	15
Super_Nintendo_Entertainment_System	0	0	2	5	4	6	5	3	2	36	3	1	58	1	11	15	3	4	4	6	1	75	3	7	0	11	19	1	4	0	0	2
Survival_horror	0	0	1	2	0	0	0	34	5	2	0	1	3	0	8	12	0	0	1	3	3	124	32	0	0	2	14	8	5	0	1	13
Tablet_computer	0	0	0	36	25	19	8	1	6	34	5	1	3	1	4	8	1	2	6	11	7	4	0	9	4	7	28	3	12	3	0	8
Tactical_media	0	1	0	1	2	0	0	0	0	6	1	0	0	0	1	1	5	1	7	6	3	6	3	0	0	1	0	1	3	0	0	1
Taito_Corporation	0	0	0	2	3	0	0	0	0	1	5	2	2	1	0	8	0	0	1	2	0	16	2	38	0	1	3	0	2	0	0	9
Ted_Dabney	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	1	0	0	1	0	0	0
Television	0	1	29	12	1	3	5	0	6	74	7	4	3	0	8	30	36	19	8	34	8	3	2	11	0	7	0	1	28	8	0	11
Television_set	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	15	8	0	1	11	0	1	0	0	0	1	0	0	9	0	0	0
Tennis_for_Two	0	0	0	22	0	0	0	2	0	0	2	1	0	0	1	8	2	0	3	2	0	53	1	0	0	3	0	0	1	2	0	0
Thomas_T_Goldsmith_Jr	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	2	2	0	1	2	0	11	0	0	0	1	1	0	1	0	0	0
Tic-tac-toe	0	0	0	8	0	0	0	44	0	0	0	0	0	0	0	3	1	0	1	4	3	51	0	0	0	5	0	0	2	7	0	0
Time_Management_(video_game_genre)	0	0	1	0	0	0	0	6	4	0	0	0	0	0	4	2	1	0	1	3	0	37	3	0	0	1	0	0	1	0	0	2
Touchscreen	0	0	0	20	6	2	3	0	0	22	5	1	2	1	9	6	41	4	9	9	5	4	2	0	0	2	5	0	4	1	0	1
Touch_typing	0	3	0	5	2	0	2	0	0	0	0	1	0	0	0	3	1	3	1	6	4	0	0	0	0	1	0	0	1	1	0	0
Tower_defense	0	0	1	3	0	0	0	12	4	0	0	0	2	1	0	4	0	0	1	2	0	43	2	0	0	2	13	2	2	0	0	3
Trainer_(games)	0	2	3	1	1	0	1	1	0	0	0	0	0	0	0	3	0	0	6	2	3	23	0	0	0	2	0	0	1	0	8	0
Transistor-transistor_logic	0	0	0	3	1	0	1	0	0	1	5	0	0	0	5	6	5	5	1	2	1	0	0	1	0	1	0	0	3	0	0	7
USD	0	1	0	0	0	0	0	0	1	10	0	1	0	0	5	11	0	13	3	14	5	0	1	1	1	3	2	0	6	0	10	21
User_interface	0	7	7	32	28	4	3	0	2	24	6	17	6	1	28	9	4	5	21	3	3	2	0	0	0	1	0	1	2	2	4	3
Valve_Corporation	0	0	0	1	13	5	0	2	3	5	5	7	1	4	0	3	1	2	4	9	0	37	3	23	2	2	7	0	9	1	2	8
VBS1	0	0	0	2	1	0	3	1	1	7	3	0	0	0	0	3	3	0	1	6	0	11	1	1	0	4	2	0	1	0	0	1
Video	0	0	0	9	0	0	8	2	0	11	0	0	0	0	1	5	12	4	8	6	4	0	0	0	0	2	0	0	2	2	0	0
Video_arcade	0	0	0	0	0	1	1	7	0	2	1	8	1	0	0	10	5	0	1	2	1	38	0	2	1	1	0	0	1	0	0	3
Video_game	0	1	4	29	14	5	3	16	16	14	17	1	29	0	12	32	9	1	7	23	9	226	17	2	0	3	3	1	23	0	4	2
Video_Games_(disambiguation)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	1	0	0	0	1	0	0	1	0	0	0
Video_games_as_an_art_form	0	3	3	5	3	0	0	31	5	2	8	2	1	3	16	9	2	1	2	6	5	191	3	1	1	2	1	3	2	5	2	6
Video_game_art	0	1	0	3	2	0	0	1	4	1	1	2	0	0	1	1	0	0	1	11	1	27	1	0	0	1	0	1	2	0	0	0
Video_game_console	0	0	2	24	12	6	4	4	9	47	5	3	118	1	10	8	11	6	12	13	6	217	2	10	0	21	71	0	11	4	0	8
Video_game_crash_of_1977	0	0	2	24	12	6	4	4	9	47	5	3	119	1	10	8	11	6	12	13	6	219	2	10	0	21	71	0	11	4	0	8
Video_game_culture	0	2	1	13	0	0	1	11	33	5	2	3	11	0	4	4	16	0	4	13	7	119	3	1	1	2	8	4	10	0	0	7
Video_game_design	0	1	4	3	3	4	0	5	0	4	14	1	0	2	207	4	2	2	5	6	5	157	1	1	0	2	0	1	3	0	0	1
Video_game_developer	0	1	3	0	11	0	1	0	0	1	20	0	5	26	13	2	2	0	2	2	3	83	0	7	0	1	0	0	1	0	2	3
Video_game_development	0	9	15	18	22	6	1	1	9	6	125	1	16	31	56	13	5	4	8	16	11	335	2	10	1	8	8	1	15	0	21	2
Video_game_genre	0	0	2	4	0	0	0	2	4	2	2	0	4	0	10	4	1	0	3	2	4	90	5	0	0	1	0	1	1	0	0	1
Video_game_graphics	0	1	2	16	2	3	0	12	0	2	1	0	1	0	4	4	2	0	1	14	2	52	3	0	0	1	0	7	14	0	0	8
Video_game_industry	0	1	2	13	11	6	3	3	12	3	33	5	24	13	10	25	10	1	4	14	3	227	1	5	0	2	7	0	10	1	1	12
Video_game_industry_practices	0	1	2	13	11	6	3	3	12	3	33	5	24	13	10	25	10	1	4	14	3	228	1	5	0	2	7	0	10	1	1	12
Video_game_music	0	1	3	17	11	9	10	11	5	14	11	0	14	6	26	12	18	2	1	8	10	289	3	3	0	7	18	0	4	0	3	11
Video_monitor	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	6	9	0	6	3	2	0	0	0	0	1	0	0	3	0	0	0
Virtual_camera_system	0	1	0	6	2	1	0	8	0	23	1	0	1	0	2	1	1	1	1	3	4	20	5	0	1	1	1	13	1	1	0	3
Virtual_reality	0	6	3	36	32	9	11	3	9	31	9	5	4	2	31	5	30	3	20	8	5	20	0	13	0	5	12	2	7	0	2	14
Web_browser	0	2	0	2	10	0	1	0	0	4	9	0	2	0	0	11	0	0	14	5	3	3	0	1	0	3	3	0	3	2	0	0
Web_portal	0	0	1	1	1	1	10	0	9	2	2	2	0	0	4	3	4	2	21	3	4	0	0	3	2	2	0	0	3	0	1	0
WiiWare	0	0	0	0	4	2	1	2	2	5	3	0	7	4	0	1	1	0	2	2	0	25	0	0	0	4	5	0	2	0	0	2
William_Higinbotham	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	11	0	0	3	2	0	21	0	0	0	3	0	0	1	1	0	0
Xbox_(console)	0	0	0	1	12	8	1	3	15	18	2	2	41	3	1	5	5	8	1	7	0	53	2	3	0	3	14	0	8	0	1	5
Xbox_Live	0	2	1	2	9	1	2	11	32	21	3	3	18	4	3	7	0	3	6	5	1	40	1	6	1	5	5	0	4	0	0	4
Xbox_One	0	3	3	6	27	32	7	5	7	30	8	1	83	4	20	5	4	0	3	5	1	60	2	4	2	3	29	0	5	0	1	1
Zylom	0	0	0	1	3	0	0	5	7	0	1	0	0	0	0	3	2	0	3	3	0	20	1	7	0	1	0	0	2	0	0	3
Abstraction_(computer_science)	0	17	31	9	8	4	28	0	0	7	1	1	0	0	3	1	0	0	5	12	14	0	0	0	0	2	0	0	9	0	14	0
Abstraction_principle_(programming)	0	8	26	1	4	3	4	0	0	1	2	0	0	0	8	3	0	0	3	2	4	0	0	0	0	1	0	0	1	0	11	0
Actor_model	0	14	47	20	9	2	1	0	0	14	11	3	0	0	4	13	5	1	9	11	7	0	0	1	1	4	1	1	3	0	2	0
Ada_(programming_language)	0	61	57	5	16	0	10	0	0	10	5	0	0	0	8	5	3	12	12	3	8	0	1	5	1	5	0	0	1	2	9	1
Addison-Wesley	0	3	6	8	1	0	1	0	2	1	0	0	0	0	2	5	0	0	2	2	0	0	0	6	0	1	0	0	1	0	0	0
Ahead-of-time_compilation	0	5	4	3	1	0	0	0	0	1	0	8	0	0	0	1	0	1	2	5	1	0	0	0	0	1	0	0	1	0	19	0
AIMACO	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	6	1	0	1	2	0	0	0	0	0	1	0	0	1	1	1	0
Alan_Jeffrey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	3	0	0	0	1	0	0	1	0	0	0
Alan_Perlis	0	2	9	13	2	0	0	0	0	0	1	0	0	0	0	4	2	0	1	4	0	0	0	0	0	1	0	0	1	0	0	0
ALGOL	0	38	21	13	4	0	0	0	0	3	3	0	0	0	5	8	1	7	1	7	5	1	0	3	0	3	0	6	3	3	10	2
ALGOL_60	0	18	16	11	1	1	0	0	0	3	2	1	0	0	4	5	0	9	2	3	6	0	0	3	0	3	0	0	1	3	7	3
Algorithm	0	21	28	43	8	4	21	0	0	4	6	43	0	0	4	12	2	0	7	8	28	0	0	6	1	8	0	0	5	0	8	1
Alick_Glennie	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	3	0	2	0	0	0	2	0	0	1	0	0	0
American_National_Standards_Institute	0	4	3	1	0	0	1	0	2	3	2	1	0	0	2	4	4	13	2	2	1	0	0	0	0	1	0	0	1	0	4	1
Android_Runtime	0	1	1	2	5	0	0	1	0	3	5	6	0	3	1	3	1	1	1	2	0	0	0	0	0	4	0	0	1	0	3	0
Anonymous_function	0	16	20	5	0	0	6	0	0	0	0	0	0	0	0	1	0	7	3	7	34	0	0	0	0	8	1	1	7	1	11	0
APL_(programming_language)	0	64	60	35	6	7	17	0	1	35	16	20	0	2	8	9	3	11	4	5	9	5	2	2	0	10	9	17	4	6	27	3
Application_software	0	1	2	14	91	3	2	2	1	11	9	1	2	0	2	4	1	0	10	4	7	3	0	0	0	3	0	0	1	0	0	0
Architecture_description_language	0	19	6	5	35	1	1	0	0	12	4	1	0	0	24	3	1	2	3	2	5	0	0	0	0	1	0	0	1	2	0	1
Array_programming	0	8	31	1	2	0	9	0	0	1	0	1	0	0	0	1	0	0	1	2	10	0	1	0	0	1	0	0	1	0	4	0
Aspect-oriented_programming	0	7	44	1	13	0	1	0	0	1	13	0	0	0	3	3	0	0	3	4	4	0	2	0	0	2	0	0	1	0	8	2
Assembler_(computing)	0	116	32	24	12	9	30	0	4	22	6	26	3	0	5	2	0	2	3	3	20	3	0	1	0	4	0	1	3	1	69	3
Assembly_language	0	116	32	24	12	9	30	0	4	22	6	26	3	0	5	2	0	2	3	3	20	3	0	1	0	4	0	1	3	1	69	3
Association_for_Computing_Machinery	0	1	7	27	3	1	5	0	7	1	0	1	0	0	3	2	8	0	14	2	1	0	0	1	0	2	0	0	6	0	0	0
Atlas_Autocode	0	6	7	8	0	0	2	0	1	1	0	2	0	0	0	2	0	0	1	4	4	0	0	0	0	3	0	4	1	1	2	0
Atlas_Computer_(Manchester)	0	1	0	14	5	4	0	0	0	9	3	6	1	0	0	5	1	0	2	2	2	0	0	0	0	1	0	1	2	0	1	0
Autocode	0	8	14	4	0	0	0	0	0	0	3	5	0	0	0	2	0	0	1	2	4	0	0	0	0	3	0	0	3	1	4	1
BackusNaur_form	0	35	15	3	3	0	4	0	3	5	2	0	0	0	1	4	2	2	5	3	10	0	2	0	0	3	0	1	1	2	5	1
Baghdad	0	3	0	0	0	0	3	0	2	4	1	5	0	0	5	14	2	1	10	11	1	0	0	0	1	1	0	1	10	0	1	1
Banu_Musa	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6	0	0	1	3	0	0	0	0	0	2	0	0	2	0	0	0
BASIC	0	38	28	33	5	1	11	0	0	10	6	12	0	0	3	9	2	5	3	5	9	1	0	3	0	15	4	3	3	12	13	2
Batch_processing	0	2	2	8	0	0	20	0	12	11	2	6	0	0	0	11	2	1	3	4	3	0	0	0	0	1	0	0	2	1	1	3
BCPL	0	19	14	6	1	1	4	0	0	4	1	5	0	0	3	1	1	2	1	5	2	0	0	1	0	4	2	2	1	0	3	1
Bell_Labs	0	17	17	19	6	0	7	0	0	27	12	4	0	0	8	7	20	0	11	3	1	0	0	30	0	1	0	0	2	2	2	1
Benjamin_C_Pierce	0	1	7	5	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0
Bibliothque_nationale_de_France	0	0	0	1	0	0	2	0	1	4	2	1	0	0	2	5	0	0	2	2	0	0	0	0	0	1	0	0	1	1	0	1
Binary_number	0	0	4	8	0	0	0	0	1	33	0	1	0	0	2	6	1	1	2	6	14	0	0	0	0	1	0	0	3	5	1	1
Binary_translation	0	0	0	4	17	8	0	0	0	7	1	2	0	0	1	1	3	0	2	3	3	4	0	0	0	4	0	0	3	1	32	0
Boilerplate_code	0	3	9	5	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	3	6	0	0	0	0	1	0	0	1	3	14	0
Brian_Kernighan	0	20	23	10	6	0	1	0	0	1	1	0	0	0	1	1	1	0	2	2	0	0	0	0	0	1	0	0	1	0	0	1
Bytecode	0	18	9	0	5	2	2	1	0	3	0	24	0	0	0	1	0	2	2	4	1	0	0	0	0	5	0	0	1	0	24	0
C++	0	39	53	4	8	2	1	0	0	2	7	0	0	0	5	7	2	36	2	2	3	0	0	0	1	6	7	0	8	0	9	1
Cambridge_University_Press	0	6	0	2	3	0	1	0	4	0	1	1	0	0	0	13	4	0	2	6	0	0	0	2	0	5	0	0	5	1	0	0
Case_statement	0	3	3	1	0	0	1	0	0	0	0	2	0	0	0	3	0	0	2	7	5	0	0	1	0	1	0	0	4	1	7	2
Categorical_list_of_programming_languages	0	125	86	4	2	10	16	0	0	15	2	22	0	4	10	1	3	14	3	10	1	5	0	0	0	8	0	0	11	3	28	0
Charity_(programming_language)	0	5	6	1	0	0	5	0	0	1	3	0	0	1	0	1	0	0	1	7	0	0	0	0	0	1	0	0	1	0	0	1
Chomsky_hierarchy	0	18	3	4	0	0	0	0	0	0	1	7	0	0	0	2	0	0	3	3	4	0	0	0	0	1	0	0	2	1	0	0
Class-based_programming	0	2	18	1	0	0	2	0	0	0	0	1	0	0	2	1	0	0	2	5	4	0	1	0	0	1	0	0	2	0	2	0
COBOL	0	50	60	40	7	2	95	0	0	8	13	0	4	0	9	21	3	40	8	4	20	0	0	1	0	6	1	13	3	12	35	2
Code_snippets	0	6	16	1	3	0	0	0	0	4	2	2	0	0	1	1	0	2	1	2	8	0	0	0	0	1	0	1	1	0	27	0
Colorless_green_ideas_sleep_furiously	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	4	3	7	5	0	0	0	2	0	0	1	1	0	0
Command-line_interface	0	15	10	23	11	1	6	0	0	33	2	1	5	0	1	9	0	7	11	8	18	1	2	0	2	5	2	15	3	44	1	2
Command_(computing)	0	4	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	4	0	0	0	0	0	1	0	0	1	0	0	0
Comment_(computer_programming)	0	12	29	5	7	0	3	0	1	4	5	0	0	2	4	1	2	2	4	7	19	0	0	0	0	3	0	6	4	28	92	0
Common_Language_Runtime	0	21	2	0	0	0	3	0	0	5	0	6	0	1	0	3	0	3	2	4	0	0	0	0	0	4	0	0	1	0	6	0
Communications_of_the_ACM	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	2	3	0	3	2	0	0	0	0	0	1	0	0	1	0	0	0
Comparison_of_programming_languages	0	33	53	9	0	0	12	0	0	18	4	2	0	0	0	1	0	12	4	4	0	6	0	0	0	2	0	0	2	3	7	0
Comparison_of_programming_languages_(basic_instructions)	0	8	10	0	1	0	9	0	0	2	0	3	0	0	0	1	0	22	4	6	3	0	0	0	0	1	0	5	7	1	3	0
Compiled	0	71	21	18	11	12	3	0	0	6	8	20	0	0	10	7	1	0	6	10	9	0	0	1	0	2	0	3	6	6	52	1
Compiled_language	0	7	6	0	0	1	0	0	0	0	0	5	0	0	0	1	0	1	1	5	1	0	0	0	0	1	0	0	2	0	10	0
Compiler	0	71	21	18	11	12	3	0	0	6	8	20	0	0	10	7	1	0	6	10	9	0	0	1	0	2	0	3	6	6	52	1
Compile_time	0	3	4	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	5	1	0	0	0	0	1	0	0	1	0	4	0
Computer	0	24	23	231	31	25	28	0	7	21	6	62	0	1	22	21	8	3	21	16	12	4	0	2	0	3	0	0	28	3	17	1
Computer_language	0	21	6	8	0	1	1	0	0	1	0	3	0	0	1	1	0	0	3	2	0	0	0	0	0	1	0	0	1	0	1	0
Computer_platform	0	2	0	4	17	10	0	1	1	6	4	4	1	1	0	1	0	0	2	4	1	2	0	0	0	2	0	0	1	0	2	0
Computer_program	0	14	36	76	38	7	4	0	0	26	4	15	2	1	1	9	0	0	4	7	9	0	0	4	0	1	0	0	9	1	23	2
Computer_Programming	0	42	72	46	55	8	14	0	1	17	20	16	0	1	9	9	1	0	11	8	3	1	1	2	0	1	0	0	6	2	24	1
Computer_science	0	14	16	217	51	9	27	0	0	18	12	16	0	0	20	15	61	0	44	20	4	1	0	1	0	2	2	0	19	0	1	0
Computing	0	9	19	141	105	21	18	0	0	34	11	8	0	2	21	9	72	4	69	12	4	1	1	1	0	1	0	0	18	0	5	0
Concatenative_programming_language	0	20	22	1	0	0	2	0	0	0	0	2	0	0	0	1	0	0	1	2	3	0	1	0	0	1	0	0	1	0	1	0
Concepts,_Techniques,_and_Models_of_Computer_Programming	0	2	6	8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0	0	0	0	1	0	0	1	0	0	1
Concurrent_computing	0	11	37	5	4	3	2	0	0	18	0	3	0	0	4	3	1	4	1	4	5	0	1	0	0	2	0	0	3	2	1	1
Constructed_languages	0	145	2	2	0	0	1	0	1	0	2	3	0	0	3	4	0	0	2	7	8	4	0	0	0	2	0	1	3	0	1	2
Context-free_grammar	0	67	4	11	0	0	0	0	0	0	0	6	0	0	1	2	0	3	3	4	23	0	0	0	0	1	0	2	1	2	2	0
Control_flow	0	22	49	9	2	0	2	0	0	4	0	4	0	0	3	1	0	5	2	21	14	0	7	0	0	2	1	0	14	7	19	1
Crt0	0	2	2	2	0	0	0	0	0	3	0	3	0	0	0	1	0	2	1	3	1	0	0	0	0	1	0	0	2	0	3	0
C_(programming_language)	0	58	63	7	5	3	26	0	0	25	7	3	0	4	4	8	1	49	6	14	20	0	0	0	1	8	0	14	18	10	30	0
C_Sharp_(programming_language)	0	68	46	2	4	0	7	0	1	19	4	1	9	4	8	5	3	11	4	4	7	0	0	0	0	4	3	2	7	5	19	1
Daniel_P_Friedman	0	2	15	3	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0	0	1	0	0	2
Data-structured_language	0	7	6	0	0	0	8	0	0	0	0	1	0	0	0	1	0	0	1	7	0	0	0	0	0	1	0	0	3	0	1	0
Dataflow_programming	0	19	58	5	1	6	19	0	0	5	4	4	0	0	1	3	0	1	4	3	0	1	1	1	0	1	0	0	2	4	3	5
Data_flow_analysis	0	0	1	4	1	0	3	0	0	1	0	0	0	0	1	1	0	0	12	2	3	0	0	0	0	1	0	0	1	0	3	0
Data_structure	0	6	8	4	2	0	78	0	2	1	0	0	0	0	4	1	1	2	4	4	2	0	0	0	0	2	0	1	4	0	0	0
Data_type	0	12	21	8	0	1	74	0	0	9	0	10	0	0	1	1	0	0	3	9	5	0	0	0	0	1	0	7	8	0	5	1
David_A_Watt	0	0	1	5	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	4	0	0	1	0	0	1	0	0	1	0	1	0
David_Gelernter	0	0	3	7	2	0	2	0	1	2	0	2	0	0	0	2	3	4	1	2	0	0	0	3	0	1	1	0	1	0	0	0
David_Hartley_(computer_scientist)	0	4	7	32	2	0	5	0	2	4	8	1	0	0	2	9	1	0	3	3	0	0	0	0	0	1	0	0	2	0	0	0
Debugging	0	3	6	11	23	6	1	0	0	20	1	0	0	0	4	3	0	0	4	8	8	1	0	0	0	2	0	0	1	2	9	2
Decidability_(logic)	0	1	1	1	0	0	0	0	0	18	0	0	0	0	0	1	0	1	1	2	6	0	0	1	0	1	0	0	1	0	0	0
Declaration_(computer_science)	0	6	6	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	3	5	3	0	0	0	0	1	0	0	2	0	4	0
Declarative_programming	0	19	58	4	1	0	1	0	0	2	0	2	0	0	0	1	0	1	1	8	5	0	1	0	0	1	0	0	2	0	3	1
Definite_assignment_analysis	0	5	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	3	3	2	2	0	0	0	0	1	0	0	1	0	1	0
Delegation_(programming)	0	1	4	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	4	0	0	0	0	0	1	0	0	1	0	0	0
Dialect_(computing)	0	14	14	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	6	0	0	1	0	0	1	0	0	1	0	0	0
Digital_object_identifier	0	1	0	0	1	0	13	0	3	51	5	0	0	0	0	1	0	19	10	4	5	0	0	0	1	5	0	2	1	0	5	2
Directory_(file_systems)	0	0	0	5	0	0	0	0	0	19	0	2	1	0	1	1	0	2	2	4	1	0	0	0	0	1	0	0	1	1	0	0
Disk_drive	0	0	0	7	0	1	20	0	0	2	0	0	0	0	1	1	3	2	7	4	1	0	0	0	0	1	0	0	1	0	0	0
Domain-specific_language	0	102	41	6	21	1	12	0	0	6	7	2	0	0	9	1	1	2	5	6	9	4	1	2	0	4	0	0	1	6	8	0
Domain-specific_programming_language	0	103	42	6	21	1	12	0	0	6	7	2	0	0	9	1	1	2	5	6	9	4	1	2	0	4	0	0	1	6	8	0
Domain_specific_language	0	103	41	6	21	1	12	0	0	6	7	2	0	0	9	1	1	2	5	6	9	4	1	2	0	4	0	0	1	6	8	0
Dynamic_programming_language	0	13	21	1	0	0	3	0	0	3	0	2	0	0	0	1	0	0	1	8	7	0	0	0	0	3	0	0	1	0	14	0
Dynamic_recompilation	0	2	1	1	3	5	1	0	0	6	0	7	3	0	0	1	0	0	6	6	6	1	0	0	0	2	0	4	2	0	20	0
EDSAC	0	0	2	16	2	1	0	0	0	1	1	4	0	0	1	4	1	0	1	3	1	1	0	0	0	1	0	0	2	1	1	0
Edsger_Dijkstra	0	25	122	105	70	9	5	0	2	11	16	3	0	0	19	19	10	7	4	8	4	0	0	7	0	1	0	1	2	2	2	3
Edsger_W_Dijkstra	0	25	122	105	70	9	5	0	2	11	16	3	0	0	19	19	10	7	4	8	4	0	0	7	0	1	0	1	2	2	2	3
Educational_programming_language	0	90	99	42	8	3	11	0	6	11	18	7	1	2	9	2	5	4	6	8	1	11	1	0	0	16	3	2	4	4	19	1
Electronic_computer	0	24	23	232	31	25	28	0	7	21	6	62	0	1	22	21	8	3	21	16	12	4	0	2	0	3	0	0	28	3	17	1
Ellis_Horowitz	0	0	0	13	3	0	4	0	0	1	0	0	0	0	0	1	1	0	3	2	0	0	0	1	0	1	0	0	1	0	0	0
English_language	0	251	0	0	0	0	3	0	5	16	7	0	0	0	0	36	1	44	6	15	37	0	2	0	0	3	0	0	36	0	3	0
Erlang_(programming_language)	0	19	33	0	12	0	2	0	7	20	5	9	0	2	1	8	1	0	1	3	7	4	2	1	1	13	4	0	2	0	15	0
Esoteric_programming_language	0	45	40	6	3	0	3	0	0	0	0	2	0	0	4	3	0	2	2	3	9	1	0	0	0	1	0	2	2	0	15	1
Essentials_of_Programming_Languages	0	6	17	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	2	1	0	0	0	0	1	0	0	1	0	1	0
Evaluation_strategy	0	15	12	4	0	0	8	0	1	0	0	0	0	0	0	1	1	0	1	7	7	0	0	0	0	2	0	0	7	0	2	0
Event-driven_programming	0	5	34	2	0	4	1	0	0	2	1	2	0	0	2	3	0	0	1	11	4	0	1	0	0	1	0	0	9	0	4	1
Exception_handling	0	26	27	5	26	14	11	0	1	13	2	1	2	2	12	3	0	6	7	15	18	0	1	0	0	5	0	2	2	4	32	0
Executable	0	10	1	6	3	6	2	0	1	12	1	12	0	0	0	1	0	0	2	5	6	0	0	0	0	1	0	0	2	0	23	0
Execution_(computing)	0	8	0	6	1	0	0	0	0	7	2	7	0	0	0	1	0	0	2	4	0	0	1	0	0	1	0	0	1	0	6	0
Extensible_programming	0	47	46	5	0	0	8	0	0	7	2	2	0	0	1	3	0	0	3	4	3	0	0	0	0	1	0	2	1	0	8	0
Ferranti_Mercury	0	1	1	5	1	4	1	0	0	7	1	4	0	0	1	2	2	0	3	3	0	0	0	0	0	3	0	0	4	0	0	0
Fifth-generation_programming_language	0	5	11	3	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0
Fifth_generation_programming_language	0	6	12	3	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0
First-generation_programming_language	0	10	12	3	0	1	0	0	0	2	0	4	0	0	0	2	0	0	1	4	0	0	0	0	0	1	0	0	3	0	4	0
FLOW-MATIC	0	6	11	2	0	0	11	0	0	1	4	0	0	0	1	5	0	0	1	3	0	0	0	0	0	3	0	0	1	0	0	0
Formal_language	0	55	7	8	0	1	0	0	0	14	0	7	0	0	0	3	0	1	1	3	2	0	0	0	0	1	0	1	4	3	3	0
Formal_semantics_of_programming_languages	0	18	19	6	0	0	1	0	2	1	0	9	0	0	1	3	0	0	1	2	3	2	1	0	0	1	0	0	1	0	1	0
Formal_specification	0	2	0	3	16	0	0	0	0	12	5	1	0	0	8	1	2	1	3	2	1	0	0	0	0	1	0	0	2	0	1	1
Forth_(programming_language)	0	18	26	3	6	4	8	0	1	14	3	4	1	0	0	4	0	7	2	2	5	1	1	0	0	4	0	9	1	7	11	0
FORTRAN	0	58	55	24	9	1	38	0	2	20	6	12	0	1	2	12	12	55	10	6	11	0	0	2	0	6	4	11	5	8	26	4
Fourth-generation_programming_language	0	18	19	6	5	5	13	0	1	10	20	3	0	4	1	7	0	1	9	8	6	0	1	1	1	3	0	0	1	0	1	1
Free_software_foundation	0	1	4	5	144	12	1	1	1	8	5	1	0	1	7	6	6	0	3	6	1	0	0	0	0	5	1	0	1	0	1	0
Front_panel	0	1	0	3	2	3	6	0	0	9	1	6	3	0	0	1	0	0	2	4	7	0	0	0	0	1	0	0	1	0	1	1
Functional_programming	0	44	123	8	3	2	23	0	0	5	7	3	0	0	5	10	1	5	4	9	14	1	1	2	0	3	0	0	16	1	6	1
General-purpose_programming_language	0	9	5	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	0	0	0	0	0	1	0	0	1	0	0	0
Generational_list_of_programming_languages	0	10	14	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	1	4	0	0	0	0	0	1	0	0	1	0	0	0
