WikiArticle	Language	Programming	Computer	Software	Hardware	Data	Player	Online	System	Development	Machine	Console	Developer	Design	History	Technology	Standard	Information	Article	Example	Game	Programming	Action	Company	Latest	Version	Released	Character	Main	Line	Code	Series
History_of_video_games	0	0	8	72	11	15	2	5	16	33	6	5	30	2	5	39	7	8	2	16	1	159	4	13	0	6	22	4	10	4	3	7
History_of_video_game_consoles_(second_generation)	0	0	0	11	2	2	0	0	2	13	2	1	29	1	0	30	2	0	1	4	0	57	2	1	0	1	19	0	6	0	2	3
History_of_video_game_consoles_(third_generation)	0	0	0	17	4	10	2	1	2	35	3	0	23	0	2	30	2	1	1	5	0	48	4	2	0	1	12	0	8	4	0	11
Home_video_game_console	0	0	2	20	5	9	5	2	8	33	4	1	93	1	6	8	5	5	4	5	1	110	2	12	0	18	50	0	1	1	0	5
IBM	0	3	2	13	23	4	14	0	4	10	6	8	2	0	5	12	27	2	10	4	2	0	0	51	0	1	1	0	2	0	11	0
Id_Software	0	0	1	5	120	0	0	1	2	0	17	0	1	2	1	7	16	0	1	12	1	60	1	21	0	7	13	1	14	0	12	23
Imagine_Cup	0	0	0	1	14	1	1	0	3	1	6	0	0	0	14	3	18	0	2	2	0	6	0	0	0	1	0	0	1	0	2	0
Input_device	0	0	0	16	1	1	4	1	0	1	0	0	0	0	0	1	0	0	6	4	1	1	0	0	0	1	0	2	4	0	0	0
Integrated_circuit	0	8	6	19	17	6	3	0	0	11	9	5	0	0	33	4	24	2	12	9	2	1	1	2	0	2	0	0	12	2	2	9
Interaction_design	0	3	2	4	8	3	2	0	0	4	2	0	0	0	221	4	3	0	4	3	2	3	0	0	0	1	0	0	2	0	0	0
Interactive_fiction	0	20	8	9	17	0	0	18	8	9	12	7	0	0	2	10	0	3	5	3	3	79	3	8	0	7	7	6	6	0	4	9
Janet_Murray	0	1	0	5	0	0	1	0	0	0	2	0	0	1	3	2	6	0	2	2	0	4	0	0	0	1	0	0	2	0	0	0
Java_(programming_language)	0	38	37	8	32	8	13	0	0	13	8	21	2	6	7	13	14	12	2	19	11	1	0	0	1	8	5	0	26	10	28	0
Jet_Propulsion_Laboratory	0	0	0	0	0	0	3	0	1	6	6	1	0	0	7	6	12	0	4	3	0	0	0	0	0	1	0	0	2	0	0	1
Joystick	0	0	0	11	1	0	3	2	0	6	1	0	3	0	1	3	7	7	3	4	5	19	0	0	0	2	7	1	2	2	0	2
Just_Cause_2	0	0	0	1	0	1	0	11	0	9	3	0	0	0	6	1	1	1	3	3	0	54	10	0	0	4	9	0	4	0	0	4
Killer_app	0	2	1	15	6	5	0	0	0	6	0	0	7	0	0	5	1	0	1	2	2	8	0	0	0	1	5	0	2	0	0	2
Level_design	0	1	2	3	6	2	2	17	0	2	8	0	1	1	159	6	2	0	3	4	5	76	0	0	0	3	0	0	1	0	1	1
Light_gun	0	0	0	14	1	0	0	9	0	12	1	0	4	0	3	5	5	1	3	4	2	19	1	4	0	2	5	0	2	2	0	1
Linux_gaming	0	1	3	11	74	7	6	4	13	22	22	2	7	6	9	7	1	1	1	9	6	178	2	2	1	20	60	0	11	1	16	9
Lists_of_video_games	0	0	1	7	1	0	0	0	7	6	1	1	21	0	4	3	2	0	1	3	0	44	2	0	0	1	1	2	5	0	1	2
List_of_arcade_video_games	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	5	0	0	3	2	0	13	0	0	0	1	2	0	1	0	0	0
List_of_best-selling_video_games	0	0	1	10	32	3	9	0	7	13	4	1	6	0	5	15	1	0	18	3	0	89	1	2	0	3	4	0	1	0	0	6
List_of_best-selling_video_game_franchises	0	1	0	17	35	5	13	3	5	4	8	0	17	10	3	5	0	0	12	2	0	214	18	10	1	11	38	12	9	4	0	303
List_of_video_games_considered_the_best	0	0	1	7	0	0	0	0	2	0	1	0	7	0	4	1	0	0	1	2	1	47	9	0	0	3	0	0	1	0	0	4
List_of_video_game_soundtracks_considered_the_best	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	34	0	0	0	1	0	0	1	0	0	1
LittleBigPlanet	0	1	0	5	0	0	0	9	3	1	1	0	2	0	2	1	0	0	1	10	1	57	0	0	1	6	9	1	14	0	0	31
Loudspeaker	0	0	0	2	5	0	0	1	0	51	2	5	1	0	38	6	8	2	2	22	10	0	1	3	0	3	1	1	24	6	0	1
Ludology	0	2	1	15	2	0	1	5	6	0	2	0	0	0	15	4	0	0	4	5	5	78	2	0	0	1	0	1	5	0	0	0
Mac_gaming	0	0	3	10	20	0	0	3	3	8	14	2	5	2	5	2	6	1	1	3	3	74	1	7	1	14	13	0	2	0	5	4
Magnavox_Odyssey	0	0	0	3	0	1	0	19	0	14	5	4	62	0	6	10	4	0	1	2	3	101	1	1	0	3	9	0	2	5	0	4
Mainframe_computer	0	0	0	22	12	9	12	1	3	21	7	2	2	0	1	6	3	0	3	3	2	2	0	0	0	1	0	0	4	1	2	4
Massachusetts_Institute_of_Technology	0	1	1	23	3	0	5	0	6	12	14	3	0	0	11	34	79	2	9	9	6	0	0	7	0	2	1	2	12	2	1	1
Massively_multiplayer_online_game	0	0	1	6	2	0	1	12	82	1	2	0	2	0	0	7	6	0	2	12	8	90	4	4	0	2	4	1	6	0	0	2
Massively_multiplayer_online_role-playing_game	0	0	2	2	8	1	3	18	63	8	14	0	3	0	8	12	1	0	4	5	6	88	4	0	0	2	4	12	3	0	0	1
Match_three	0	0	1	0	0	0	1	12	2	0	2	0	0	0	2	6	0	0	1	5	0	37	3	0	0	2	0	0	1	3	0	2
Metro__Last_Light	0	0	0	1	0	0	0	21	1	12	14	3	0	3	2	1	0	0	4	2	0	87	0	2	0	14	11	5	4	11	1	4
Microsoft_Flight_Simulator	0	0	0	2	15	6	2	0	1	5	14	0	0	3	2	9	0	3	1	10	1	21	0	5	3	16	11	0	8	1	2	11
